"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","Looking forward to learning about #MongoDB from @rlondner, @marcopoloni_dan &amp; @nickparsons in #SanJose next week! https://t.co/zR9sHNsXvE",FALSE,1,NA,2017-04-20 22:21:24,FALSE,NA,"855184653568794624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","miss_arty_pants",0,FALSE,FALSE,NA,NA
"12","RT @m1parmar: Get your #NoSQL data out of MongoDB and into #Couchbase using this #Golang script written by @nraboy: https://t.co/Uhvfnbq5xi",FALSE,0,NA,2017-04-20 22:21:02,FALSE,NA,"855184559490596868",NA,"<a href=""https://twitter.com/cool_golang"" rel=""nofollow"">Cool Go</a>","cool_golang",1,TRUE,FALSE,NA,NA
"13","elasticsearch v.s. MongoDB for filtering application #mongodb #elasticsearch https://t.co/Dp5qooFDdn",FALSE,1,NA,2017-04-20 22:21:00,FALSE,NA,"855184553429913601",NA,"<a href=""http://jarvis.ratankumar.org/"" rel=""nofollow"">elasticsearchQnA</a>","ElasticsearchQA",0,FALSE,FALSE,NA,NA
"14","Get your #NoSQL data out of MongoDB and into #Couchbase using this #Golang script written by @nraboy: https://t.co/Uhvfnbq5xi",FALSE,0,NA,2017-04-20 22:20:02,FALSE,NA,"855184308922970113",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","m1parmar",1,FALSE,FALSE,NA,NA
"15","GALE Partners is looking for a Senior Full Stack Developer. #linux #python #django #mongodb #developer #agile #lead https://t.co/9ATL4KnJJa",FALSE,0,NA,2017-04-20 22:20:02,FALSE,NA,"855184308801351680",NA,"<a href=""https://qmo.io"" rel=""nofollow"">TO Tech Jobs</a>","TO_Tech_Jobs",0,FALSE,FALSE,NA,NA
"16","TD Bank Group is looking for a IT Developer III. #java #nodejs #javaee #sqlserver #mongodb https://t.co/Hzvooj4Uyl",FALSE,0,NA,2017-04-20 22:20:01,FALSE,NA,"855184304829280256",NA,"<a href=""https://qmo.io"" rel=""nofollow"">TO Tech Jobs</a>","TO_Tech_Jobs",0,FALSE,FALSE,NA,NA
"17","nodejs + expressjs + mongodb + reactjs = Done! ... Time to go to home! =]",FALSE,0,NA,2017-04-20 22:19:59,FALSE,NA,"855184298504314880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","web4u",0,FALSE,FALSE,NA,NA
"18","Which is the best MongoDB GUI? via @scalegridio #mongodb https://t.co/d44FWnpUka #coding https://t.co/b4nN9XFyFY",FALSE,1,NA,2017-04-20 22:17:02,FALSE,NA,"855183555718205441",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","bootstrapious",0,FALSE,FALSE,NA,NA
"19","Auth0 is looking for a Node &amp; React Engineer. They allow remote. #reactjs #nodejs #mongodb https://t.co/R76Ol3FQY2",FALSE,0,NA,2017-04-20 22:16:25,FALSE,NA,"855183397131612188",NA,"<a href=""https://qmo.io"" rel=""nofollow"">TO Tech Jobs</a>","TO_Tech_Jobs",0,FALSE,FALSE,NA,NA
"20","RT @KerryWLaird1: Get your #NoSQL data out of MongoDB and into #Couchbase using this #Golang script written by @nraboy: https://t.co/n2BHBm…",FALSE,0,NA,2017-04-20 22:11:23,FALSE,NA,"855182132343439364",NA,"<a href=""http://www.dub.io"" rel=""nofollow"">Dub.io</a>","dataloco",2,TRUE,FALSE,NA,NA
"21","#MongoDB database as a service offering goes global | CIO https://t.co/lYP461XZAV",FALSE,1,NA,2017-04-20 22:03:47,FALSE,NA,"855180218796998661",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ianrbruce",0,FALSE,FALSE,NA,NA
"22","Switch from MongoDB to #Couchbase! Read @nraboy's blog post to learn why companies are moving to @N1QL: https://t.co/31g8SBa5Mf #NoSQL",FALSE,1,NA,2017-04-20 22:00:09,FALSE,NA,"855179304199753728",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","m1parmar",0,FALSE,FALSE,NA,NA
"23","RT @K0YCHEV: 5 Advantages of MEAN Stack https://t.co/OizxJCmB9U #NodeJS #angularjs #javascript #Mongodb #devops https://t.co/i8gHLTwy0J",FALSE,0,NA,2017-04-20 21:57:24,FALSE,NA,"855178613687189507",NA,"<a href=""http://amandeepmittal.github.io"" rel=""nofollow"">Nodejs Tweet Bot</a>","nodejstweet",2,TRUE,FALSE,NA,NA
"24","RT @K0YCHEV: 5 Advantages of MEAN Stack https://t.co/OizxJCmB9U #NodeJS #angularjs #javascript #Mongodb #devops https://t.co/i8gHLTwy0J",FALSE,0,NA,2017-04-20 21:57:02,FALSE,NA,"855178521882132482",NA,"<a href=""http://web2news.com"" rel=""nofollow"">nodejsdigest</a>","nodejsdigest",2,TRUE,FALSE,NA,NA
"25","MongoDB In 30 Minutes https://t.co/5H3ruO1Unj",FALSE,0,NA,2017-04-20 21:56:54,FALSE,NA,"855178486339731456",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","donnawar1959",0,FALSE,FALSE,NA,NA
"26","RT ThorOlavsrud: MongoDB database as a service offering goes global https://t.co/Iyvm2Yb2iX via CIOonline #MongoDB #Cloud",FALSE,0,NA,2017-04-20 21:56:25,FALSE,NA,"855178365959106560",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TheExeLab",0,FALSE,FALSE,NA,NA
"27","MongoDB database as a service offering goes global https://t.co/2UwLhCsTbn via @CIOonline",FALSE,0,NA,2017-04-20 21:56:19,FALSE,NA,"855178339056721920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","meisenberg",0,FALSE,FALSE,NA,NA
"28","RT @KerryWLaird1: Get your #NoSQL data out of MongoDB and into #Couchbase using this #Golang script written by @nraboy: https://t.co/n2BHBm…",FALSE,0,NA,2017-04-20 21:55:27,FALSE,NA,"855178123905781761",NA,"<a href=""https://twitter.com/cool_golang"" rel=""nofollow"">Cool Go</a>","cool_golang",2,TRUE,FALSE,NA,NA
"29","Get your #NoSQL data out of MongoDB and into #Couchbase using this #Golang script written by @nraboy: https://t.co/n2BHBmHhGY",FALSE,1,NA,2017-04-20 21:55:03,FALSE,NA,"855178023762632706",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","KerryWLaird1",2,FALSE,FALSE,NA,NA
"30","RT @ThorOlavsrud: MongoDB database as a service offering goes global https://t.co/j0KPbjThEp via @CIOonline #MongoDB #Cloud",FALSE,0,NA,2017-04-20 21:55:01,FALSE,NA,"855178015101399041",NA,"<a href=""http://www.itknowingness.com"" rel=""nofollow"">ttools it knowingness</a>","itknowingness",5,TRUE,FALSE,NA,NA
"31","RT @ThorOlavsrud: MongoDB database as a service offering goes global https://t.co/j0KPbjThEp via @CIOonline #MongoDB #Cloud",FALSE,0,NA,2017-04-20 21:55:01,FALSE,NA,"855178012257636353",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","MongoDB",5,TRUE,FALSE,NA,NA
"32","RT @rlondner: Come listen to @nickparsons @marcopoloni_dan and myself at our upcoming @MongoDB #SiliconValley meetup! https://t.co/9qxKlKQN…",FALSE,0,NA,2017-04-20 21:50:58,FALSE,NA,"855176994878705664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nickparsons",5,TRUE,FALSE,NA,NA
"33","RT @MongoDB: Voting for the 2017 DBTA Readers' Choice Awards is open now! Vote for #MongoDB #database #NoSQL #cloud https://t.co/ZJkeNGLdA4…",FALSE,0,NA,2017-04-20 21:47:39,FALSE,NA,"855176161613287428",NA,"<a href=""http://basisdatalab.com/"" rel=""nofollow"">Database Laboratory Bot</a>","basisdatalab",8,TRUE,FALSE,NA,NA
"34","RT @machinelearnbot: Big Data Nosql Architecting Mongodb here  https://t.co/sXGB0oGFbt #bigdata @machinelearnbot",FALSE,0,NA,2017-04-20 21:39:30,FALSE,NA,"855174109495410690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unassertive",1,TRUE,FALSE,NA,NA
"35","Anyone want to do this Mongo DB using the MEAN Stack course with me? https://t.co/b58kTjBsZE",FALSE,0,NA,2017-04-20 21:37:02,FALSE,NA,"855173486477799427",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TedBonham",0,FALSE,FALSE,NA,NA
"36","RT @rlondner: Come listen to @nickparsons @marcopoloni_dan and myself at our upcoming @MongoDB #SiliconValley meetup! https://t.co/9qxKlKQN…",FALSE,0,NA,2017-04-20 21:33:00,FALSE,NA,"855172472320258049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaydestro",5,TRUE,FALSE,NA,NA
"37","RT @Rbloggers: Using MongoDB with R https://t.co/fqTHlOYt8O #rstats #DataScience",FALSE,0,NA,2017-04-20 21:31:04,FALSE,NA,"855171987391619073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jlesliedata",24,TRUE,FALSE,NA,NA
"38","Senior Software Engineer @FundRecs Arclabs, WIT, Waterford, Ireland #Groovy #Java #MongoDB https://t.co/ObS8zVWIfB",FALSE,1,NA,2017-04-20 21:31:01,FALSE,NA,"855171971788787716",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SA_Java_Jobs",0,FALSE,FALSE,NA,NA
"39","5 Advantages of MEAN Stack https://t.co/OizxJCmB9U #NodeJS #angularjs #javascript #Mongodb #devops https://t.co/i8gHLTwy0J",FALSE,3,NA,2017-04-20 21:30:21,FALSE,NA,"855171806940078081",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","K0YCHEV",2,FALSE,FALSE,NA,NA
"40","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 21:28:42,FALSE,NA,"855171390118522882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MongoDBenEsp",7,TRUE,FALSE,NA,NA
"41","words are confusing. SQL - MongoDB terms/concepts https://t.co/BJ4OrDaSwW",FALSE,0,NA,2017-04-20 21:19:59,FALSE,NA,"855169198376353795",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","amIADevYet",0,FALSE,FALSE,NA,NA
"42","@MongoDB Or at least there wasn't a list that I subscribed to.
So the question becomes why am I on a list to begin with ???",FALSE,0,"thlorenz",2017-04-20 21:18:40,FALSE,"855168584062042113","855168863662739459","174726123","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thlorenz",0,FALSE,FALSE,NA,NA
"43","MongoDB: Preventing common vulnerabilities in the MEAN stack https://t.co/LBM5JhrRRA https://t.co/ffddgeSXnJ",FALSE,0,NA,2017-04-20 21:17:41,FALSE,NA,"855168618094448640",NA,"<a href=""http://t.co/ldfh3TuRfm"" rel=""nofollow"">amazing-news</a>","AngularAddict",0,FALSE,FALSE,NA,NA
"44","@MongoDB Well there is no list as I was told by one of your representatives.
If you'd read my tweet carefully and/o… https://t.co/HvCWaCKjLB",FALSE,0,"MongoDB",2017-04-20 21:17:33,TRUE,"855167690289360897","855168584062042113","18080585","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thlorenz",0,FALSE,FALSE,NA,NA
"45","RT @rlondner: Come listen to @nickparsons @marcopoloni_dan and myself at our upcoming @MongoDB #SiliconValley meetup! https://t.co/9qxKlKQN…",FALSE,0,NA,2017-04-20 21:16:33,FALSE,NA,"855168332848353280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","francium",5,TRUE,FALSE,NA,NA
"46","RT @thecryptovalley: BigchainDB has abstracted the database layer. It now supports MongoDB as well as RethinkDB https://t.co/Lw1ZhKH3Sg",FALSE,0,NA,2017-04-20 21:16:17,FALSE,NA,"855168265345269760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrankBausB",6,TRUE,FALSE,NA,NA
"47","@thlorenz Sorry to hear that you were inconvenienced. We can remove you from our list.",FALSE,0,"thlorenz",2017-04-20 21:14:00,FALSE,"855054084474363904","855167690289360897","174726123","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","MongoDB",0,FALSE,FALSE,NA,NA
"48","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 21:12:09,FALSE,NA,"855167227481477120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZGFiaWQ",7,TRUE,FALSE,NA,NA
"49","MongoDB database as a service offering goes global https://t.co/cfTLHUlWqb",FALSE,0,NA,2017-04-20 21:11:00,FALSE,NA,"855166935687888896",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","maitsalah",0,FALSE,FALSE,NA,NA
"50","RT @rlondner: Come listen to @nickparsons @marcopoloni_dan and myself at our upcoming @MongoDB #SiliconValley meetup! https://t.co/9qxKlKQN…",FALSE,0,NA,2017-04-20 21:09:36,FALSE,NA,"855166583722954753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","meghanpgill",5,TRUE,FALSE,NA,NA
"51","How do I remove documents using Node.js Mongoose? #javascript #database #mongodb #nodejs #mongoose https://t.co/OPXk5NNAKe",FALSE,0,NA,2017-04-20 21:06:01,FALSE,NA,"855165681532366850",NA,"<a href=""http://jarvis.ratankumar.org/"" rel=""nofollow"">javascriptqna</a>","JavascriptQnA",0,FALSE,FALSE,NA,NA
"52","RT @rlondner: Come listen to @nickparsons @marcopoloni_dan and myself at our upcoming @MongoDB #SiliconValley meetup! https://t.co/9qxKlKQN…",FALSE,0,NA,2017-04-20 21:05:42,FALSE,NA,"855165600938811393",NA,"<a href=""http://google.com"" rel=""nofollow"">Storage and Cloud</a>","vCloud_Storage",5,TRUE,FALSE,NA,NA
"53","#MongoDB World is back in Chicago June 21-22! Use code JayGordon for $100 off! Early Bird ends 04/28 https://t.co/zTbcmdBHNo #MDBW17",FALSE,0,NA,2017-04-20 21:04:14,FALSE,NA,"855165232444059652",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaydestro",0,FALSE,FALSE,NA,NA
"54","Come listen to @nickparsons @marcopoloni_dan and myself at our upcoming @MongoDB #SiliconValley meetup! https://t.co/9qxKlKQN16 #AWS",FALSE,7,NA,2017-04-20 21:01:15,FALSE,NA,"855164480879157248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rlondner",5,FALSE,FALSE,NA,NA
"55","relational to un…relational? https://t.co/YTKzOjDFIH",FALSE,0,NA,2017-04-20 21:00:10,FALSE,NA,"855164211420315648",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","amIADevYet",0,FALSE,FALSE,NA,NA
"56","Get the most MEAN (@meanjsorg) stack in the cloud. Only one click and is all ready - https://t.co/8LhIjka4Oz… https://t.co/eBsC5jy3RW",FALSE,0,NA,2017-04-20 21:00:02,TRUE,NA,"855164175533785088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CodePicnic",0,FALSE,FALSE,NA,NA
"57","Like @MongoDB? Join us at MongoDB World '17! Use code RaphaelLondner for $100 off your early bird ticket at https://t.co/YtVSMqdGhg #MDBW17",FALSE,1,NA,2017-04-20 20:59:17,FALSE,NA,"855163985871503360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rlondner",0,FALSE,FALSE,NA,NA
"58","RT @MongoDB: Everything you need to know when considering #NoSQL vs #SQL #databases: 
https://t.co/1KXvusHPju https://t.co/GgzvEjmJzI",FALSE,0,NA,2017-04-20 20:54:51,FALSE,NA,"855162869943586816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CloudLifeCycle",35,TRUE,FALSE,NA,NA
"59","RT @cloudchhabra: Thanks to our friends @USTGlobal who have committed to a Gold sponsorship of #MDBW17. @MongoDB. https://t.co/Lem9D4z923",FALSE,0,NA,2017-04-20 20:54:42,FALSE,NA,"855162835101519873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CloudLifeCycle",0,TRUE,FALSE,NA,NA
"60","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 20:54:35,FALSE,NA,"855162803556143104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CloudLifeCycle",7,TRUE,FALSE,NA,NA
"61","Get all the details on MongoDB 3.4, including information on $graphLookup and zoned sharding - https://t.co/FWvnPumgUp",FALSE,0,NA,2017-04-20 20:51:04,FALSE,NA,"855161919057145856",NA,"<a href=""http://www.influitive.com"" rel=""nofollow"">Influitive</a>","thiagoviski",0,FALSE,FALSE,NA,NA
"62","RT @MongoDB: Only 24 hours left to win a fully funded trip to #MDBW17!  Enter now to learn from the team that builds #MongoDB: https://t.co…",FALSE,0,NA,2017-04-20 20:47:50,FALSE,NA,"855161107824218113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CallousFury",4,TRUE,FALSE,NA,NA
"63","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 20:47:46,FALSE,NA,"855161090086498304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CallousFury",7,TRUE,FALSE,NA,NA
"64","RT @MongoDB: Voting for the 2017 DBTA Readers' Choice Awards is open now! Vote for #MongoDB #database #NoSQL #cloud https://t.co/ZJkeNGLdA4…",FALSE,0,NA,2017-04-20 20:47:41,FALSE,NA,"855161069299527680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CallousFury",8,TRUE,FALSE,NA,NA
"65","MongoDB: Can't initiate replica set; 'has data already, cannot initiate set' https://t.co/qKsA9aFXXG",FALSE,0,NA,2017-04-20 20:47:10,FALSE,NA,"855160939242553344",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PythonHub",0,FALSE,FALSE,NA,NA
"66","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 20:46:51,FALSE,NA,"855160860255420416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lennincaro",7,TRUE,FALSE,NA,NA
"67","New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes… https://t.co/lh1M83sttx",FALSE,0,NA,2017-04-20 20:46:11,FALSE,NA,"855160689471705090",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TheExeLab",0,FALSE,FALSE,NA,NA
"68","RT @MongoDB: New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes. https://t.…",FALSE,0,NA,2017-04-20 20:42:45,FALSE,NA,"855159828645392385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rayomahony",7,TRUE,FALSE,NA,NA
"69","New to #MongoDB #Atlas: #Queryable Backups. Query your snapshots &amp; restore #data at the #document level in minutes.… https://t.co/tnxrql5mbm",FALSE,9,NA,2017-04-20 20:42:33,TRUE,NA,"855159775457312768",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","MongoDB",7,FALSE,FALSE,NA,NA
"70","RT @BrianLinuxing: .@fth_nix @Raspberry_Pi @dragonhall @julie_wdc @western_digital @guru @pimoroni @JenInnovate @RedHatNews @MongoDB @PazMa…",FALSE,0,NA,2017-04-20 20:38:48,FALSE,NA,"855158833139793920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","julie_wdc",5,TRUE,FALSE,NA,NA
"71","Switch from MongoDB to #Couchbase! Read @nraboy's blog post to learn why companies are moving to @N1QL: https://t.co/mnY7R7jAOk #NoSQL",FALSE,0,NA,2017-04-20 20:37:17,FALSE,NA,"855158451521155072",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","javapsyche",0,FALSE,FALSE,NA,NA
"72","NoSQL grudge match: MongoDB vs. Couchbase Server https://t.co/8voEgKmsHu",FALSE,1,NA,2017-04-20 20:36:57,FALSE,NA,"855158366263545859",NA,"<a href=""http://www.networkedblogs.com/"" rel=""nofollow"">NetworkedBlogs</a>","mundra_aman91",0,FALSE,FALSE,NA,NA
"73","I just earned the Conjuring @MongoDB badge on level 1 of The Magical Marvels of MongoDB on @codeschool https://t.co/5iXdl3MUqa",FALSE,1,NA,2017-04-20 20:29:31,FALSE,NA,"855156497382330370",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chad_d_stud",0,FALSE,FALSE,NA,NA
"74","RT @scalegridio: The easiest way to manage #mongodb  shards on #AWS. Deploy, backup, scale out &amp; monitor https://t.co/bSFe8dULFb",FALSE,0,NA,2017-04-20 20:28:30,FALSE,NA,"855156240577478656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kalymom",327,TRUE,FALSE,NA,NA
"75","RT @MongoDB: Voting for the 2017 DBTA Readers' Choice Awards is open now! Vote for #MongoDB #database #NoSQL #cloud https://t.co/ZJkeNGLdA4…",FALSE,0,NA,2017-04-20 20:25:00,FALSE,NA,"855155361694846976",NA,"<a href=""http://webjinfo-wjboss.rhcloud.com"" rel=""nofollow"">origauto</a>","webjframework",8,TRUE,FALSE,NA,NA
"76","RT @MongoDB: Voting for the 2017 DBTA Readers' Choice Awards is open now! Vote for #MongoDB #database #NoSQL #cloud https://t.co/ZJkeNGLdA4…",FALSE,0,NA,2017-04-20 20:23:55,FALSE,NA,"855155089035726848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MongoDBenEsp",8,TRUE,FALSE,NA,NA
"77","RT @MongoDB: Only 24 hours left to win a fully funded trip to #MDBW17!  Enter now to learn from the team that builds #MongoDB: https://t.co…",FALSE,0,NA,2017-04-20 20:23:39,FALSE,NA,"855155020882468866",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MongoDBenEsp",4,TRUE,FALSE,NA,NA
"78","RT @MongoDB: Voting for the 2017 DBTA Readers' Choice Awards is open now! Vote for #MongoDB #database #NoSQL #cloud https://t.co/ZJkeNGLdA4…",FALSE,0,NA,2017-04-20 20:23:19,FALSE,NA,"855154937344520195",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JayMcoder",8,TRUE,FALSE,NA,NA
"79","RT @K0YCHEV: “#MongoDB: Preventing Common Vulnerabilities in the MEAN Stack” by @SW_Integrity https://t.co/eznD6NOtZT #javascript #NodeJS #…",FALSE,0,NA,2017-04-20 20:21:00,FALSE,NA,"855154354629881856",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","benedictusSit",4,TRUE,FALSE,NA,NA
"80","RT @MongoDB: Everything you need to know when considering #NoSQL vs #SQL #databases: 
https://t.co/1KXvusHPju https://t.co/GgzvEjmJzI",FALSE,0,NA,2017-04-20 20:17:41,FALSE,NA,"855153518373621760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","foreignerTodd",35,TRUE,FALSE,NA,NA
